species	longitude	latitude
Streptanthus_tortuosus	-123.45	40.95
Streptanthus_tortuosus	-122.35	41.37
Streptanthus_tortuosus	-118.84	36.71
Streptanthus_tortuosus	-122.93	41.06
Streptanthus_tortuosus	-123.37	40.8
Streptanthus_tortuosus	-119.28	38.09
Streptanthus_tortuosus	-119.03	37.63
Streptanthus_tortuosus	-118.57	36.4
Streptanthus_tortuosus	-121.55	39.59
Streptanthus_tortuosus	-120.34	37.84
Streptanthus_tortuosus	-118.67	35.88
Streptanthus_tortuosus	-120.64	39.56
Streptanthus_tortuosus	-123.71	40.83
Streptanthus_tortuosus	-122.36	41.36
Streptanthus_tortuosus	-119.52	37.52
Streptanthus_tortuosus	-120.89	39.93
Streptanthus_tortuosus	-119.26	38.03
Streptanthus_tortuosus	-119.91	38.33
Streptanthus_tortuosus	-119.58	37.72
Streptanthus_tortuosus	-119.08	37.63
Streptanthus_tortuosus	-119.49	37.85
Streptanthus_tortuosus	-122.23	41.37
Streptanthus_tortuosus	-122.22	41.38
Streptanthus_tortuosus	-120.08	38.88
Streptanthus_tortuosus	-120.83	39.56
Streptanthus_tortuosus	-123.05	40.84
Streptanthus_tortuosus	-121.41	39.83
Streptanthus_tortuosus	-120.08	38.88
Streptanthus_tortuosus	-119.2	37.24
Streptanthus_tortuosus	-119.66	37.54
Streptanthus_tortuosus	-121.07	39.93
Streptanthus_tortuosus	-120.62	39.32
Streptanthus_tortuosus	-120.2	38.03
Streptanthus_tortuosus	-121.33	39.91
Streptanthus_tortuosus	-122.36	41.36
Streptanthus_tortuosus	-120.56	39.32
Streptanthus_tortuosus	-122.16	41.3
Streptanthus_tortuosus	-122.12	41.43
Streptanthus_tortuosus	-123.68	40.76
Streptanthus_tortuosus	-119.59	37.43
Streptanthus_tortuosus	-119.26	37.91
Streptanthus_tortuosus	-119.44	38.14
Streptanthus_tortuosus	-122.23	41.37
Streptanthus_tortuosus	-121.41	40.46
Streptanthus_tortuosus	-119.49	37.85
Streptanthus_tortuosus	-119.27	37.92
Streptanthus_tortuosus	-119.83	37.67
Streptanthus_tortuosus	-120.77	39.76
Streptanthus_tortuosus	-122.38	41.22
Streptanthus_tortuosus	-120.14	39.07
Streptanthus_tortuosus	-119.16	37.71
Streptanthus_tortuosus	-118.53	36.07
Streptanthus_tortuosus	-119.13	37.73
Streptanthus_tortuosus	-121.32	39.92
Streptanthus_tortuosus	-121.55	39.56
Streptanthus_tortuosus	-123.66	41.24
Streptanthus_tortuosus	-123.45	41.71
Streptanthus_tortuosus	-123.8	41.89
Streptanthus_tortuosus	-123.48	40.85
Streptanthus_tortuosus	-118.64	36.46
Streptanthus_tortuosus	-118.45	36.41
Streptanthus_tortuosus	-118.6	36.43
Streptanthus_tortuosus	-118.58	36.49
Streptanthus_tortuosus	-119.5	37.49
Streptanthus_tortuosus	-118.54	36.5
Streptanthus_tortuosus	-118.58	36.56
Streptanthus_tortuosus	-118.57	36.41
Streptanthus_tortuosus	-119.26	37.92
Streptanthus_tortuosus	-120.33	39.32
Streptanthus_tortuosus	-119.18	37.3
Streptanthus_tortuosus	-120.33	39.3
Streptanthus_tortuosus	-120.05	38.84
Streptanthus_tortuosus	-118.58	36.49
Streptanthus_tortuosus	-118.56	36.48
Streptanthus_tortuosus	-120.14	38.91
Streptanthus_tortuosus	-120.71	38.77
Streptanthus_tortuosus	-120.23	38.03
Streptanthus_tortuosus	-120.52	38.7
Streptanthus_tortuosus	-119.83	38.34
Streptanthus_tortuosus	-120.32	39.32
Streptanthus_tortuosus	-120.14	39.07
Streptanthus_tortuosus	-119.02	37.59
Streptanthus_tortuosus	-119.23	37.91
Streptanthus_tortuosus	-119.35	37.88
Streptanthus_tortuosus	-120.52	38.7
Streptanthus_tortuosus	-119.71	37.51
Streptanthus_tortuosus	-119.66	38.32
Streptanthus_tortuosus	-118.78	37.45
Streptanthus_tortuosus	-118.98	37.58
Streptanthus_tortuosus	-118.57	36.4
Streptanthus_tortuosus	-123.39	40.94
Streptanthus_tortuosus	-121.56	39.6
Streptanthus_tortuosus	-119.74	37.75
Streptanthus_tortuosus	-120.07	38.84
Streptanthus_tortuosus	-123.35	40.8
Streptanthus_tortuosus	-119.91	38.67
Streptanthus_tortuosus	-123.73	40.87
Streptanthus_tortuosus	-119.58	37.84
Streptanthus_tortuosus	-119.28	37.96
Streptanthus_tortuosus	-122.28	40.63
Streptanthus_tortuosus	-122.64	41.02
Streptanthus_tortuosus	-122.36	41.39
Streptanthus_tortuosus	-123.38	41.8
Streptanthus_tortuosus	-120.61	39.32
Streptanthus_tortuosus	-122.48	41.14
