species,latitude,longitude,year
Streptanthus_tortuosus,39.32,-120.33,1943
Streptanthus_tortuosus,37.3,-119.18,1943
Streptanthus_tortuosus,39.3,-120.33,1943
Streptanthus_tortuosus,38.84,-120.05,1943
Streptanthus_tortuosus,36.49,-118.58,1943
Streptanthus_tortuosus,36.48,-118.56,1943
Streptanthus_tortuosus,38.91,-120.14,1943
Streptanthus_tortuosus,38.77,-120.71,1944
Streptanthus_tortuosus,38.03,-120.23,1944
Streptanthus_tortuosus,38.7,-120.52,1944
Streptanthus_tortuosus,38.34,-119.83,1944
Streptanthus_tortuosus,39.32,-120.32,1944
Streptanthus_tortuosus,39.07,-120.14,1944
Streptanthus_tortuosus,37.59,-119.02,1944
Streptanthus_tortuosus,37.91,-119.23,1944
Streptanthus_tortuosus,37.88,-119.35,1944
Streptanthus_tortuosus,38.7,-120.52,1945
Streptanthus_tortuosus,37.51,-119.71,1945
Streptanthus_tortuosus,38.32,-119.66,1945
Streptanthus_tortuosus,37.45,-118.78,1946
Streptanthus_tortuosus,37.58,-118.98,1946
Streptanthus_tortuosus,36.4,-118.57,1946
Streptanthus_tortuosus,40.94,-123.39,1946
Streptanthus_tortuosus,39.6,-121.56,1947
Streptanthus_tortuosus,37.75,-119.74,1947
Streptanthus_tortuosus,38.84,-120.07,1947
Streptanthus_tortuosus,40.8,-123.35,1947
Streptanthus_tortuosus,38.67,-119.91,1947
Streptanthus_tortuosus,40.87,-123.73,1947
Streptanthus_tortuosus,37.84,-119.58,1947
Streptanthus_tortuosus,37.96,-119.28,1947
Streptanthus_tortuosus,40.63,-122.28,1948
Streptanthus_tortuosus,41.02,-122.64,1948
Streptanthus_tortuosus,41.39,-122.36,1948
Streptanthus_tortuosus,41.8,-123.38,1948
Streptanthus_tortuosus,39.32,-120.61,1948
Streptanthus_tortuosus,41.14,-122.48,1948
Streptanthus_tortuosus,41.13,-122.55,1948
Streptanthus_tortuosus,41.17,-122.33,1948
Streptanthus_tortuosus,38.46,-122.55,1948
Streptanthus_tortuosus,41.28,-123.45,1948
Streptanthus_tortuosus,40.97,-123.02,1948
Streptanthus_tortuosus,40.47,-121.52,1948
Streptanthus_tortuosus,37.64,-120.15,1948
Streptanthus_tortuosus,37.63,-120.15,1949
Streptanthus_tortuosus,39.6,-121.55,1949
Streptanthus_tortuosus,38.89,-120.03,1949
Streptanthus_tortuosus,39.33,-120.33,1949
Streptanthus_tortuosus,40.86,-123.03,1949
Streptanthus_tortuosus,40.88,-123,1949
Streptanthus_tortuosus,37.27,-119.12,1949
Streptanthus_tortuosus,38.66,-122.82,1949
Streptanthus_tortuosus,40.3,-123.55,1949
Streptanthus_tortuosus,40.33,-123.14,1949
Streptanthus_tortuosus,40.25,-122.9,1949
Streptanthus_tortuosus,40.46,-123.06,1949
Streptanthus_tortuosus,37.3,-119.11,1949
Streptanthus_tortuosus,37.62,-120.14,1950
Streptanthus_tortuosus,40.81,-123.47,1950
Streptanthus_tortuosus,41.78,-122.95,1950
Streptanthus_tortuosus,41.75,-123.49,1950
Streptanthus_tortuosus,40.48,-121.5,1950
Streptanthus_tortuosus,37.19,-118.64,1950
Streptanthus_tortuosus,37.95,-119.28,1950
Streptanthus_tortuosus,40.02,-121.06,1951
Streptanthus_tortuosus,37.3,-119.1,1951
Streptanthus_tortuosus,37.65,-119.08,1951
Streptanthus_tortuosus,41.58,-123.14,1951
Streptanthus_tortuosus,37.94,-119.24,1951
Streptanthus_tortuosus,36.43,-118.6,1951
Streptanthus_tortuosus,37.35,-119.24,1951
Streptanthus_tortuosus,40.24,-122.99,1951
Streptanthus_tortuosus,40.17,-123.01,1951
Streptanthus_tortuosus,36.4,-118.56,1951
Streptanthus_tortuosus,40.84,-123.56,1951
Streptanthus_tortuosus,40.03,-122.86,1951
Streptanthus_tortuosus,37.29,-119.1,1951
Streptanthus_tortuosus,37.35,-118.86,1951
